mapid	tags	description
_ansgar_2021_01	germany,cologne,education,points	Decided to use Cologne, the place I live, as a common theme throughout the challenges. Points show the locations of kindergartens & day care centers in Cologne.
_ansgar_2021_02	germany,cologne,rivers,lines	The river course of the Rhine, crossing Cologne (#Köln) at Rheinkilometer 688.
_ansgar_2021_03	germany,cologne,sport,voronoi	I recreated @VictimOfMaths's idea of using Voronoi tesselation to find the nearest (semi-)professional football team for each point in Cologne (#Köln), adding the club logos (SVGs).
_ansgar_2021_04	germany,cologne,education,hexagons,grid,choropleth	Opening times / availabilities of kindergardens in Cologne (#Köln)
_ansgar_2021_05	germany,cologne,lines,transport,cycling,osm,openstreetmap	Bike Lanes in Cologne, Germany (#Köln)
_ansgar_2021_06	germany,cologne,tiles,cartogram,politics,elections,red	A tile grid map of vote shares of the Social Democrats (#SPD) in the German Federal Election 2021 (#Bundestagswahl) in each district in Cologne. (left = first vote, right = second vote)
_ansgar_2021_07	germany,cologne,tiles,cartogram,politics,elections,green	Vote shares of the Green Party (#Gruenen) in the German Federal Election 2021 (#Bundestagswahl) in each district in Cologne.
_ansgar_2021_08	germany,cologne,choropleth,housing,blue	Average housing space in the districts of Cologne (#Köln).
_ansgar_2021_09_1	germany,cologne,lines,roads,black and white,osm,openstreetmap	Streets of Cologne (#Köln)
_ansgar_2021_09_2	germany,cologne,buildings,black and white,osm,openstreetmap	A map with all buildings in Cologne, Germany (#Köln)
_ansgar_2021_11	germany,cologne,politics,elections,3d,animation	Voter turnout in the Federal Election 2021 (#Bundestagswahl) in each district in Cologne (#Köln)
_ansgar_2021_12	world,cartogram,dorling,animated	Cologne (#Köln) residents by country of birth outside Germany as of 2014. The view is morphing between a Mollweide projection, a contiguous cartogram and a Dorling cartogram using {gganimate} 📦
_ansgar_2021_13	rhine,rivers	The river course of the Rhine (Rhein). Using Natural Earth data for the course and the shaded relief.
_ansgar_2021_16_1	germany,cologne,usa,roads,small multiples,lines,osm,openstreetmap	TIL there is a town called Cologne in Minnesota, USA. Cologne, MN was founded by German settlers and named after Cologne, Germany (Köln).
_ansgar_2021_16_2	germany,cologne,trees	Trees of Cologne
_ansgar_2021_17_1	germany,cologne,land use,small multiples	Land use / zoning plan in Cologne, Germany (Köln). Selected land use categories are shown.
_ansgar_2021_17_2	germany,cologne,land use	Also created a plot which shows all land use types all in one chart. Barely legible, but somehow I like the colors. 🤩
